,dEVI,Grid,Range
3511,2233.5,AUB,SK
3512,2613.5,AUB,SK
3513,2613.5,AUB,SK
3514,3013.5,AUB,SK
3515,3013.5,AUB,SK
3516,2873.5,AUB,SK
3517,2873.5,AUB,SK
3518,1888,AUB,SK
3519,1888,AUB,SK
3520,2309,AUB,SK
3521,2309,AUB,SK
3522,2692.5,AUB,SK
3523,2692.5,AUB,SK
3524,2398,AUB,SK
3525,2398,AUB,SK
3526,3058.5,AUB,SK
3527,3058.5,AUB,SK
3528,2972,AUB,SK
3529,2972,AUB,SK
3530,2689,AUB,SK
3531,2689,AUB,SK
3532,1789,AUB,SK
3533,1789,AUB,SK
3534,2096,AUB,SK
3535,2096,AUB,SK
3536,2324,AUB,SK
3537,2324,AUB,SK
3538,2190,AUB,SK
3539,2190,AUB,SK
3540,1683.5,AUB,SK
3541,1683.5,AUB,SK
3542,1467,AUB,SK
3543,1467,AUB,SK
3544,1702,AUB,SK
3545,1702,AUB,SK
3546,2755,AUB,SK
3547,2755,AUB,SK
3548,2369.5,AUB,SK
3549,1336,AUB,SK
3550,1336,AUB,SK
3551,1315,AUB,SK
3552,1315,AUB,SK
3553,1477.5,AUB,SK
3554,1477.5,AUB,SK
3555,1581,AUB,SK
3556,1581,AUB,SK
3557,2120,AUB,SK
3558,2120,AUB,SK
3559,2388,AUB,SK
3560,2388,AUB,SK
3561,2567.5,AUB,SK
3562,2567.5,AUB,SK
3563,2444.5,AUB,SK
3564,2444.5,AUB,SK
3565,2368,AUB,SK
3566,2368,AUB,SK
3567,2582.5,AUB,SK
3568,2582.5,AUB,SK
3569,2551,AUB,SK
3570,2551,AUB,SK
3571,1928.5,AUB,SK
3572,1928.5,AUB,SK
3573,2510,AUB,SK
3574,2510,AUB,SK
3575,2496,AUB,SK
3576,2496,AUB,SK
3577,2092.5,AUB,SK
3578,2092.5,AUB,SK
3579,1664.5,AUB,SK
3580,1664.5,AUB,SK
3581,2190.5,AUB,SK
3582,2190.5,AUB,SK
3583,2096,AUB,SK
3584,2096,AUB,SK
3585,1827.5,AUB,SK
3586,1827.5,AUB,SK
3587,1976.5,AUB,SK
3588,1976.5,AUB,SK
3589,2377.5,AUB,SK
3590,2377.5,AUB,SK
3591,1969.5,AUB,SK
3592,1969.5,AUB,SK
3593,1583,AUB,SK
3594,1583,AUB,SK
3595,1413,AUB,SK
3596,1413,AUB,SK
3597,2089.5,AUB,SK
3598,2089.5,AUB,SK
3599,2811.5,AUB,SK
3600,2811.5,AUB,SK
3601,2452,AUB,SK
3602,2369.5,AUB,SK
3603,2369.5,AUB,SK
3604,1336,AUB,SK
3605,1336,AUB,SK
3606,1315,AUB,SK
3607,1315,AUB,SK
3608,1477.5,AUB,SK
3609,1477.5,AUB,SK
3610,1581,AUB,SK
3611,1581,AUB,SK
3612,2120,AUB,SK
3613,2120,AUB,SK
3614,2388,AUB,SK
3615,2388,AUB,SK
3616,2567.5,AUB,SK
3617,2567.5,AUB,SK
3618,2444.5,AUB,SK
3619,2444.5,AUB,SK
3620,2368,AUB,SK
3621,2368,AUB,SK
3622,2582.5,AUB,SK
3623,2582.5,AUB,SK
3624,2551,AUB,SK
3625,2551,AUB,SK
3626,1928.5,AUB,SK
3627,1928.5,AUB,SK
3628,2510,AUB,SK
3629,2510,AUB,SK
3630,2496,AUB,SK
3631,2496,AUB,SK
3632,2092.5,AUB,SK
3633,2092.5,AUB,SK
3634,1664.5,AUB,SK
3635,1664.5,AUB,SK
3636,2190.5,AUB,SK
3637,2190.5,AUB,SK
3638,2096,AUB,SK
3639,2096,AUB,SK
3640,1827.5,AUB,SK
3641,1827.5,AUB,SK
3642,1976.5,AUB,SK
3643,1976.5,AUB,SK
3644,2377.5,AUB,SK
3645,2377.5,AUB,SK
3646,1969.5,AUB,SK
3647,1969.5,AUB,SK
3648,1583,AUB,SK
3649,1583,AUB,SK
3650,1413,AUB,SK
3651,1413,AUB,SK
3652,2089.5,AUB,SK
3653,2089.5,AUB,SK
3654,2811.5,AUB,SK
3655,2190.5,AUB,SK
3656,2190.5,AUB,SK
3657,1705.5,AUB,SK
3658,1705.5,AUB,SK
3659,1882,AUB,SK
3660,1882,AUB,SK
3661,1530.5,AUB,SK
3662,1530.5,AUB,SK
3663,1938.5,AUB,SK
3664,1938.5,AUB,SK
3665,2050,AUB,SK
3666,2050,AUB,SK
3667,2864,AUB,SK
3668,2864,AUB,SK
3669,2701,AUB,SK
3670,2701,AUB,SK
3671,2851.5,AUB,SK
3672,2851.5,AUB,SK
3673,2509.5,AUB,SK
3674,2509.5,AUB,SK
3675,2635,AUB,SK
3676,2635,AUB,SK
3677,2044,AUB,SK
3678,2044,AUB,SK
3679,2191,AUB,SK
3680,2191,AUB,SK
3681,1906.5,AUB,SK
3682,1906.5,AUB,SK
3683,1947.5,AUB,SK
3684,1947.5,AUB,SK
3685,1485,AUB,SK
3686,1485,AUB,SK
3687,2556,AUB,SK
3688,2556,AUB,SK
3689,2480,AUB,SK
3690,2480,AUB,SK
3691,2094,AUB,SK
3692,2094,AUB,SK
3693,1786,AUB,SK
3694,1786,AUB,SK
3695,2355.5,AUB,SK
3696,2355.5,AUB,SK
3697,2363,AUB,SK
3698,2363,AUB,SK
3699,1757.5,AUB,SK
3700,1757.5,AUB,SK
3701,1398,AUB,SK
3702,1398,AUB,SK
3703,964.5,AUB,SK
3704,964.5,AUB,SK
3705,1178,AUB,SK
3706,1178,AUB,SK
3707,1146.5,AUB,SK
3708,1146.5,AUB,SK
3709,3802.5,MAL,SK
3710,3153,MAL,SK
3711,3153,MAL,SK
3712,3862.5,MAL,SK
3713,4146,MAL,SK
3714,4146,MAL,SK
3715,3561,MAL,SK
3716,3561,MAL,SK
3717,3949.5,MAL,SK
3718,3949.5,MAL,SK
3719,3843.5,MAL,SK
3720,3843.5,MAL,SK
3721,3572.5,MAL,SK
3722,3572.5,MAL,SK
3723,3105.5,MAL,SK
3724,3105.5,MAL,SK
3725,3351,MAL,SK
3726,3351,MAL,SK
3727,3687,MAL,SK
3728,3687,MAL,SK
3729,3862.5,MAL,SK
3730,3862.5,MAL,SK
3731,4146,MAL,SK
3732,4146,MAL,SK
3733,3561,MAL,SK
3734,3561,MAL,SK
3735,3949.5,MAL,SK
3736,3949.5,MAL,SK
3737,3843.5,MAL,SK
3738,3843.5,MAL,SK
3739,3572.5,MAL,SK
3740,3572.5,MAL,SK
3741,3105.5,MAL,SK
3742,3564.5,MAL,SK
3743,3564.5,MAL,SK
3744,3831.5,MAL,SK
3745,3831.5,MAL,SK
3746,3311.5,MAL,SK
3747,3311.5,MAL,SK
3748,3166.5,MAL,SK
3749,3166.5,MAL,SK
3750,3895.5,MAL,SK
3751,3895.5,MAL,SK
3752,3832,MAL,SK
3753,3832,MAL,SK
3754,3516,MAL,SK
3755,3516,MAL,SK
3756,3149,MAL,SK
3757,3149,MAL,SK
3758,3228,MAL,SK
3759,3228,MAL,SK
3760,3028,MAL,SK
3761,3564.5,MAL,SK
3762,3564.5,MAL,SK
3763,3831.5,MAL,SK
3764,3831.5,MAL,SK
3765,3311.5,MAL,SK
3766,3311.5,MAL,SK
3767,3166.5,MAL,SK
3768,3166.5,MAL,SK
3769,3895.5,MAL,SK
3770,3895.5,MAL,SK
3771,3832,MAL,SK
3772,3832,MAL,SK
3773,3516,MAL,SK
3774,3516,MAL,SK
3775,3149,MAL,SK
3776,3149,MAL,SK
3777,3051,MAL,SK
3778,3076.5,MAL,SK
3779,3076.5,MAL,SK
3780,3179,MAL,SK
3781,3179,MAL,SK
3782,3368,MAL,SK
3783,3368,MAL,SK
3784,4082.5,MAL,SK
3785,4082.5,MAL,SK
3786,4242.5,MAL,SK
