,Grid,Disturbance,Range
311,FMM,0,ESAR
312,FMM,0.6539,ESAR
313,FMM,1.7822,ESAR
314,FMM,6.442,ESAR
315,FMM,0.6033,ESAR
316,FMM,1.6499,ESAR
317,FMM,0.4259,ESAR
318,FMM,4.2514,ESAR
319,FMM,2.9834,ESAR
320,FMM,1.6915,ESAR
321,FMM,0.0172,ESAR
322,FMM,0,ESAR
323,FMM,1.0473,ESAR
324,FMM,6.0333,ESAR
325,FMM,0.0021,ESAR
326,FMM,0.6444,ESAR
327,FMM,0.8015,ESAR
328,FMM,0,ESAR
329,FMM,0.1794,ESAR
330,FMM,2.433,ESAR
331,FMM,6.4018,ESAR
332,FMM,1.296,ESAR
333,FMM,2.6727,ESAR
334,FMM,0.6007,ESAR
335,FMM,12.698,ESAR
336,FMM,3.4259,ESAR
337,FMM,3.5384,ESAR
338,FMM,2.7552,ESAR
339,FMM,2.4763,ESAR
340,FMM,1.7816,ESAR
341,FMM,8.6267,ESAR
342,FMM,3.2177,ESAR
343,FMM,2.8882,ESAR
344,FMM,1.424,ESAR
345,FMM,6.4362,ESAR
346,FMM,7.7823,ESAR
347,FMM,19.2821,ESAR
348,FMM,5.5355,ESAR
349,FMM,7.777,ESAR
350,FMM,5.9084,ESAR
351,FMM,11.4293,ESAR
352,FMM,11.6621,ESAR
353,FMM,8.1037,ESAR
354,FMM,8.5651,ESAR
355,FMM,12.2844,ESAR
356,FMM,11.5143,ESAR
357,FMM,28.0232,ESAR
358,WAB,0.3158,WSAR
359,WAB,3.562,WSAR
360,WAB,0.3842,WSAR
361,WAB,0.2963,WSAR
362,WAB,1.6815,WSAR
363,WAB,1.4669,WSAR
364,WAB,0.5582,WSAR
365,WAB,0.9379,WSAR
366,WAB,0.6017,WSAR
367,WAB,1.2026,WSAR
368,WAB,1.8993,WSAR
369,WAB,1.8967,WSAR
370,WAB,1.1036,WSAR
371,WAB,5.0336,WSAR
372,WAB,2.7462,WSAR
373,WAB,4.8845,WSAR
374,WAB,1.4188,WSAR
375,WAB,2.7639,WSAR
376,WAB,3.9455,WSAR
377,WAB,2.4307,WSAR
378,WAB,1.0776,WSAR
379,WAB,1.4187,WSAR
380,WAB,0.9215,WSAR
381,WAB,1.2051,WSAR
